Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
18.956044,15.92033,21.978022,18.983516,1.841672,0.360961,329.67033,299.313187,376.373626,331.236264,24.585373,4.818645,16.483516,5.494505,24.725275,14.505495,6.012339,1.178397,157.02204,,11,onset
21.153846,18.392857,24.725275,21.247253,2.137029,0.41885,326.923077,291.071429,362.637363,327.554945,23.024452,4.51271,13.736264,5.494505,27.60989,15.192308,7.606347,1.490817,158.927592,,11,onset_benchmark
9.89011,7.953297,12.912088,10.035714,1.479933,0.290062,335.164835,293.681319,365.384615,331.730769,23.029485,4.513696,5.494505,0.0,13.736264,6.620879,4.314644,0.845655,147.199907,,11,speed
11.538462,7.967033,14.299451,11.288462,1.950471,0.382285,329.67033,291.208791,368.269231,329.642857,26.011474,5.098155,5.494505,2.747253,16.483516,7.637363,4.479102,0.877888,148.250828,,11,speed_benchmark
18.681319,15.645604,21.717033,18.68956,1.900729,0.372536,332.417582,291.208791,371.016484,332.472527,23.965841,4.697219,10.989011,5.494505,21.978022,12.884615,4.840897,0.948798,149.034017,,11,speed_onset
21.703297,18.667582,24.725275,21.791209,1.947258,0.381655,329.67033,293.956044,368.269231,330.0,22.873051,4.483036,16.483516,8.104396,32.967033,18.159341,8.07727,1.583116,150.505218,,11,speed_onset_benchmark
7.211538,5.769231,9.134615,7.423077,1.168324,0.228987,336.538462,302.764423,375.120192,335.240385,24.384217,4.779219,4.807692,0.0,9.735577,4.375,3.230162,0.6331,171.19713,,12,base
11.298077,9.122596,13.713942,11.346154,1.533324,0.300526,336.538462,295.673077,365.504808,334.326923,23.189858,4.545129,7.211538,2.403846,16.826923,8.004808,4.78402,0.937651,171.670151,,12,benchmark
13.942308,10.576923,16.129808,13.776442,1.714715,0.336078,332.932692,300.360577,370.432692,334.6875,21.530102,4.219822,9.615385,2.403846,16.826923,8.774038,4.812243,0.943182,171.381641,,12,onset
21.274038,18.245192,24.038462,21.329327,1.812082,0.355161,338.942308,312.259615,375.120192,341.177885,19.705245,3.862157,14.423077,4.807692,26.442308,14.591346,5.780702,1.132997,173.661657,,12,onset_benchmark
